id,nome,coord_x,coord_y
1,Max Torino Lab,9.438702,37.979102
2,Nova Torino Food,13.58591,36.836896
3,Elite Napoli Srl,12.564263,36.781281
4,Tech Bologna Food,9.145287,42.746216
5,Tech Milano SpA,10.583006,38.148083
6,Nova Verona Express,11.059128,40.305181
7,Max Padova Venezia,16.185539,44.235157
8,Tech Reggio Calabria Express,7.445602,39.60769
9,Milano Cagliari Prime,8.807463,37.237285
10,Nova Firenze Services,16.763813,45.684727
11,Italia Venezia Solutions,14.128213,40.367221
12,Elite Padova Prime,14.542102,43.939295
13,Prime Napoli Venezia,12.909679,39.094996
14,Max Messina Nova,18.37428,43.283997
15,Green Reggio Calabria Tech,16.614223,44.725599
16,Green Firenze Group,11.313977,37.201599
17,Elite Livorno Elite,14.365264,40.693698
18,Max Messina Market,8.175564,44.396883
19,Milano Reggio Calabria Solutions,11.641206,42.685449
20,Prime Padova Tech,12.614316,37.46364
21,Prime Roma Express,14.029353,44.896041
22,Nova Trieste Venezia,11.117208,42.816417
23,Max Messina Auto,18.152941,45.624265
24,Roma Milano Express,15.510534,44.647147
25,Max Verona Express,11.717183,41.309471
26,Prime Bari Auto,12.59218,37.627955
27,Milano Catania Auto,8.886933,40.463487
28,Roma Genova Food,17.521922,42.848813
29,Nova Parma Lab,17.649183,45.814452
30,Euro Catania Tech,9.390459,42.513984
31,Italia Napoli Store,16.292279,46.866636
32,Prime Reggio Calabria Market,14.41701,46.536596
33,Roma Genova Solutions,16.969196,40.985262
34,Elite Bologna Food,15.055388,40.729318
35,Roma Padova Max,11.917834,39.1278
36,Euro Napoli Elite,13.559705,38.939216
37,Nova Firenze Lab,14.994091,37.124062
38,Green Napoli Group,7.350288,39.022849
39,Roma Parma Srl,8.087742,46.416451
40,Italia Livorno Italia,9.415967,41.513513
41,Nova Trieste Srl,7.66317,41.069143
42,Italia Trieste Euro,16.866041,37.074215
43,Tech Torino Group,15.238563,44.986281
44,Elite Torino Tech,8.782507,41.255304
45,Max Trieste SpA,12.051537,45.769551
46,Roma Napoli Max,7.674905,43.412736
47,Nova Reggio Calabria Lab,17.616404,45.496175
48,Italia Genova Euro,12.276301,45.665294
49,Tech Roma SpA,6.525865,40.638471
50,Tech Messina Services,14.859098,44.243356
51,Prime Reggio Calabria Green,8.778774,38.80763
52,Roma Roma Italia,7.231491,39.824211
53,Italia Roma Italia,12.534205,45.538831
54,Roma Genova Group,7.461338,38.469745
55,Elite Cagliari Store,11.345307,46.480919
56,Milano Livorno Tech,13.63423,43.065444
57,Milano Trieste Italia,12.773393,46.407886
58,Elite Bologna Elite,9.687374,37.88731
59,Green Catania Max,17.64822,46.418783
60,Milano Milano Max,18.481453,47.058622
61,Elite Napoli Food,12.570616,37.90404
62,Elite Padova Store,10.934325,38.172116
63,Milano Reggio Calabria Services,18.30624,45.055259
64,Roma Modena Lab,10.092545,43.53192
65,Nova Palermo Solutions,17.176552,44.369617
66,Max Palermo Solutions,13.757958,44.106689
67,Roma Bologna Solutions,12.362382,46.096567
68,Tech Roma Store,16.452177,36.96732
69,Max Verona Market,8.438984,41.183456
70,Euro Trieste Food,7.842487,46.51754
71,Euro Palermo Food,16.51514,42.674601
72,Prime Palermo Euro,7.001946,40.365306
73,Elite Roma Prime,14.6848,43.569494
74,Tech Padova Food,18.186044,44.444463
75,Prime Firenze SpA,17.076994,36.762735
76,Elite Verona Euro,9.701669,44.84617
77,Euro Torino Nova,16.803119,38.857797
78,Max Messina Prime,16.346437,45.736024
79,Elite Firenze Lab,11.281592,39.453192
80,Green Napoli Solutions,14.197781,40.736591
81,Euro Reggio Calabria Elite,7.884101,46.786246
82,Max Genova Italia,6.959086,42.823655
83,Tech Padova Elite,13.774506,41.921084
84,Elite Venezia Italia,9.55667,44.013124
85,Roma Milano Auto,14.742286,46.466789
86,Tech Bologna Prime,7.339686,43.540919
87,Green Verona Venezia,14.46065,37.821028
